key,en,ga
Balancing Observation table,Observation Table,Balancing Observation table
Balancing ESS,effective sample size,Balancing ESS
Balancing Love plot,Love Plot,Balancing Love plot
Balancing Balance plot dots,Dots indicate standardised mean differences in matching variables before and after adjusting.,Balancing Balance plot dots
Balancing Balance plot dots MI,Dots indicate standardised mean differences in matching variables before and after adjusting. Bars represent the range across imputations.,Temp
Balancing Balance table,Balance Table,Balancing Balance table
Balancing Warning no method,Please select a matching method before proceeding,Balancing Warning no method
Balancing Warning no ratio,Please select a matching ratio before proceeding,Balancing Warning no ratio
Balancing Warning change rerun,Note: Changing this parameter will require balancing to be rerun along with all subsequent steps.,Temp
Outcome Choose model,Choose an Outcome Model:,Outcome Choose model
Outcome LR w covar interaction,Linear Regression (Outcome ~ Treatment * Matching Variables),Outcome LR w covar interaction
Outcome LR w covar,Linear Regression (Outcome ~ Treatment + Matching Variables),Outcome LR w covar
Outcome LR wo covar,Linear Regression (Outcome ~ Treatment),Outcome LR wo covar
Outcome LR description,"Linear regression is a way of modelling the associations between exploratory variable(s) and a continuous outcome variable. The model takes the form y = bX + e, where y and x are our outcome and explanatory variables respectively, and e is the random error. Of interest here is b, which is the estimated effect of our treatment variable on our outcome. By fitting a model to a sample that is either matched or weighted according to the propensity of treatment, we can better estimate the **causal** effect of the treatment on our outcome variable. As you select an outcome model option more information will appear.",
Outcome LR w covar interaction full,Linear regression adjusted for matching variables as covariates and their interactions with the treatment variable:,Outcome LR w covar interaction full
Outcome LR w covar interaction description,"This option will fit a linear regression with your chosen outcome and the following predictors: i) the treatment variable ii) all matching variables iii) all interactions between treatment and matching variables. This method addresses the fact that dependencies (or ‘clustering’) are introduced into the data due to matching and can help to deal with the effects of any remaining imbalance that isn’t completely addressed by the matching or weighting. It additionally deals with imbalance and bias that might be related to the fact that treatment status might interact with the matching variables (e.g., a treatment might affect people of different genders differently so if there isn’t a perfect gender balance there might be some bias in estimating the treatment effect).",Outcome LR w covar interaction description
Outcome LR w covar full,Linear regression adjusted for matching variables as covariates:,Outcome LR w covar full
Outcome LR w covar description,This option will fit a linear regression with your chosen outcome and the treatment variable and matching variables as predictors. This option is recommended for matching methods as it addresses the fact that dependencies (or ‘clustering’) are introduced into the data due to matching. It can also help to deal with the effects of any remaining imbalance that isn’t completely addressed by the matching or weighting.,Outcome LR w covar full description
Outcome LR wo covar full,Linear regression without matching variables as covariates:,Outcome LR wo covar full
Outcome LR wo covar description,This option will fit a linear regression with your chosen outcome and just the treatment variable as a predictor using the matched data or IPTW weights. Note that this method does not take into account the paired nature of the data when used with a matching method like propensity score matching for binary treatments or NBP for ordinal treatments.,Outcome LR wo covar full description
Outcome model output,Outcome Model Output,Outcome model output
Outcome model output initial,"Once you have selected your outcome model, press ‘Run' to get results.",Outcome model output initial
Outcome model output rerun,"It looks like the outcome model will have to be rerun, this is because some of the required inputs have been changed since the previous run. Once you have selected your outcome model, press 'Run' to get results.",Outcome model output rerun
Outcome model output estimate description,"In counterfactual analysis, the estimate can be used to quantify the potential causal effect of specific factors, interventions, or treatments on mental health outcomes.",Outcome model output estimate description
Outcome model output estimate,Estimate:,Outcome model output estimate
Outcome model output SE description,The standard error is a statistical measure that quantifies the variability or uncertainty associated with the estimate. It provides a measure of how much the estimate is likely to vary from the true population value.,Outcome model output SE description
Outcome model output SE,Standard Error:,Outcome model output SE
Outcome model output P description,"In null-hypothesis significance testing, the p-value represents the the probability of obtaining a test statistic as extreme or more extreme than the one observed, assuming that the null hypothesis is true. Typically, if the p-value is below a predetermined significance level (often 0.05), the null hypothesis is rejected in favour of an alternative hypothesis, implying that there is a statistically significant effect or relationship in the data.",Outcome model output P description
Outcome model output P,P-value:,Outcome model output P
Outcome model output CI,95% Confidence Interval:,Outcome model output CI
Outcome Button Run,Run,Outcome Button Run
Outcome Button download report,Download Report,Outcome Button download report
Outcome Button download script,Download R Script,Outcome Button download script
Outcome Button sensitivity,Go to Sensitivity Analysis Tab,Outcome Button sensitivity
Outcome Warning rerun,Note: Changing this parameter will require outcome model to be rerun,Outcome Warning rerun
Outcome Warning no model,Please select an outcome model before proceeding,Outcome Warning no model
Tabs DU outcome,Outcome: ,Tabs DU outcome
Tabs DU treatment,Treatment: ,Tabs DU treatment
Tabs Approach approach,Approach: ,Tabs Approach approach
Tabs Approach missingness,Missingness: ,Tabs Approach missingness
Tabs Approach model,Model: ,Tabs Approach model
Tabs Matching method,Matching Method: ,Tabs Matching method
Tabs Matching ratio,Matching Ratio:,Tabs Matching ratio
Tabs Outcome model,Outcome Model:,Tabs Outcome model
